rgb,hex
"(0, 0, 0)",#000000
"(153, 153, 153)",#999999
"(77, 77, 77)",#4d4d4d
"(255, 255, 255)",#ffffff
"(244, 78, 59)",#f44e3b
"(254, 146, 0)",#fe9200
"(252, 220, 0)",#fcdc00
"(219, 223, 0)",#dbdf00
"(164, 221, 0)",#a4dd00
"(104, 204, 202)",#68ccca
"(115, 216, 255)",#73d8ff
"(174, 161, 255)",#aea1ff
"(253, 161, 255)",#fda1ff
"(51, 51, 51)",#333333
"(128, 128, 128)",#808080
"(204, 204, 204)",#cccccc
"(211, 49, 21)",#d33115
"(226, 115, 0)",#e27300
"(252, 196, 0)",#fcc400
"(176, 188, 0)",#b0bc00
"(104, 188, 0)",#68bc00
"(22, 165, 165)",#16a5a5
"(0, 156, 224)",#009ce0
"(123, 100, 255)",#7b64ff
"(250, 40, 255)",#fa28ff
"(102, 102, 102)",#666666
"(179, 179, 179)",#b3b3b3
"(159, 5, 0)",#9f0500
"(196, 81, 0)",#c45100
"(251, 158, 0)",#fb9e00
"(128, 137, 0)",#808900
"(25, 77, 51)",#194d33
"(12, 121, 125)",#0c797d
"(0, 98, 177)",#0062b1
"(101, 50, 148)",#653294
"(171, 20, 158)",#ab149e
"(189, 193, 180)",#bdc1b4
"(218, 200, 165)",#dac8a5
"(244, 211, 193)",#f4d3c1
"(241, 73, 67)",#f14943
"(238, 182, 140)",#eeb68c
"(252, 182, 114)",#fcb672
"(229, 243, 181)",#e5f3b5
"(186, 213, 175)",#bad5af
"(172, 207, 171)",#accfab
"(127, 217, 255)",#7fd9ff
"(119, 209, 246)",#77d1f6
"(238, 173, 172)",#eeadac
"(168, 168, 168)",#a8a8a8
"(207, 196, 171)",#cfc4ab
"(243, 204, 174)",#f3ccae
"(219, 77, 64)",#db4d40
"(236, 152, 73)",#ec9849
"(233, 181, 126)",#e9b57e
"(188, 199, 162)",#bcc7a2
"(53, 117, 118)",#357576
"(95, 191, 175)",#5fbfaf
"(136, 214, 223)",#88d6df
"(12, 47, 156)",#0c2f9c
"(171, 121, 113)",#ab7971
"(137, 142, 133)",#898e85
"(173, 150, 114)",#ad9672
"(209, 154, 145)",#d19a91
"(155, 62, 61)",#9b3e3d
"(240, 144, 36)",#f09024
"(240, 164, 1)",#f0a401
"(193, 178, 7)",#c1b207
"(3, 77, 86)",#034d56
"(113, 198, 170)",#71c6aa
"(57, 180, 230)",#39b4e6
"(11, 15, 121)",#0b0f79
"(84, 12, 72)",#540c48
"(55, 35, 22)",#372316
"(150, 122, 84)",#967a54
"(147, 113, 121)",#937179
"(131, 15, 70)",#830f46
"(144, 48, 72)",#903048
"(216, 93, 68)",#d85d44
"(115, 126, 60)",#737e3c
"(29, 48, 45)",#1d302d
"(98, 129, 121)",#628179
"(15, 102, 187)",#0f66bb
"(9, 12, 81)",#090c51
"(60, 0, 60)",#3c003c
"(195, 192, 138)",#c3c08a
"(221, 209, 147)",#ddd193
"(238, 207, 148)",#eecf94
"(236, 187, 162)",#ecbba2
"(246, 128, 74)",#f6804a
"(255, 109, 142)",#ff6d8e
"(148, 88, 95)",#94585f
"(97, 106, 88)",#616a58
"(180, 156, 96)",#b49c60
